name,T,alpha,beta,delta,gamma,tau,max_psi,max_u,e_final
T=0.10,0.1,1.0,0.1,0.075,1.5,0.47004700470047006,10.0,115.0,1.1644529607224285e-07
T=0.36,0.35789473684210527,1.0,0.1,0.075,1.5,1.6501650165016502,10.0,42.94117647058823,4.2901587704591293e-07
T=0.62,0.6157894736842106,1.0,0.1,0.075,1.5,2.8402840284028406,10.0,31.23931623931624,3.172019660269143e-07
T=0.87,0.8736842105263158,1.0,0.1,0.075,1.5,4.030403040304031,10.0,26.445783132530124,1.413422729967806e-07
T=1.13,1.1315789473684212,1.0,0.1,0.075,1.5,5.2205220522052205,10.0,23.837209302325576,7.467875349220776e-07
T=1.39,1.3894736842105266,1.0,0.1,0.075,1.5,6.400640064006401,10.0,22.196969696969695,1.3066023996088916e-07
T=1.65,1.6473684210526318,1.0,0.1,0.075,1.5,7.590759075907591,10.0,21.070287539936103,4.996629243692041e-08
T=1.91,1.905263157894737,1.0,0.1,0.075,1.5,8.780878087808782,10.0,21.743032870926847,2.5262278668947147e-07
T=2.16,2.1631578947368424,1.0,0.1,0.075,1.5,9.97099709970997,10.0,30.650727665861965,7.191697548591947e-08
T=2.42,2.421052631578948,1.0,0.1,0.075,1.5,11.151115111511151,10.0,41.459269260365666,2.2403934707426743e-07
T=2.68,2.678947368421053,1.0,0.1,0.075,1.5,12.341234123412342,10.0,54.57428197273105,7.067411544880997e-08
T=2.94,2.936842105263158,1.0,0.1,0.075,1.5,13.531353135313532,10.0,70.48795590972111,4.168184730701796e-08
T=3.19,3.1947368421052635,1.0,0.1,0.075,1.5,14.721472147214723,10.0,89.797503531264,2.0363756902952446e-08
T=3.45,3.452631578947369,1.0,0.1,0.075,1.5,15.901590159015903,10.0,113.22758877099315,1.368665856205098e-07
T=3.71,3.710526315789474,1.0,0.1,0.075,1.5,17.091709170917092,10.0,141.65749909547975,4.356216365408727e-08
T=3.97,3.9684210526315793,1.0,0.1,0.075,1.5,18.281828182818284,10.0,176.1541719362878,1.6722218276754575e-08
T=4.23,4.226315789473684,1.0,0.1,0.075,1.5,19.471947194719473,10.0,218.01221410646005,8.041574517392291e-09
T=4.48,4.484210526315789,1.0,0.1,0.075,1.5,20.652065206520653,10.0,268.8024941516212,5.635246935753457e-09
T=4.74,4.742105263157895,1.0,0.1,0.075,1.5,21.842184218421842,10.0,330.43109453438393,9.063285233423812e-09
T=5.00,5.0,1.0,0.1,0.075,1.5,23.032303230323034,10.0,405.21084155838184,2.301863588627384e-08
